Snapshot_Date,SKU,Current_Stock,On_Order,Lead_Time_Days,Safety_Stock,Reorder_Point,Inventory_Value,is_active_sales_sku,Product_Status,Product_Name,Category,Subcategory,Launch_Date,Cost_Price,Selling_Price,Gross_Margin_Per_Unit,Negative_Margin_Flag,fc_w1,fc_w2,forward_demand_units,forward_demand_8w,fc_avg_weekly,lead_time_demand,available_units,required_inventory_buffer,required_buffer,stockout_flag,current_stock_below_reorder_point,reorder_gap_units,lead_time_stock_gap,safety_stock_gap,buffer_gap_units,stock_gap_units,stockout_score,excess_units,overstock_score,overstock_flag,decision_quadrant,recommended_action,action_rationale,units_at_stockout_risk,revenue_at_risk,inventory_value_tied_up,value_at_stake
2025-12-01,SKU012,47,60,12,16,58,67949.78,True,Active Commercial,Product 012,Home Decor,Table,2024-12-09,1256.89,8779.37,7522.48,0.0,174.8,173.7,709.3,1501.9,187.7,298.9,107,314.9,314.9,1,1,11.0,191.9,0.0,207.9,207.9,0.83,0.0,0.033,0,Reorder Now,Prioritize replenishment purchase order review,Available inventory (107) breaches required buffer (314.9 = 298.9 LTD + 16 SS); buffer gap is 207.9 units.,207.9,1825231.02,0.0,1825231.02
2025-12-01,SKU013,151,95,4,32,61,1169978.2,True,Active Commercial,Product 013,Kitchen,Cushion,2024-03-20,3936.71,5757.78,1821.07,0.0,85.0,91.7,359.8,760.1,95.0,48.6,246,80.6,80.6,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.21,0,Healthy,Maintain current inventory position and monitor,Available inventory (246) safely covers required buffer (80.6) and stock is within 4-week demand.,0.0,0.0,0.0,0.0
2025-12-01,SKU014,309,334,10,130,299,964407.54,True,Active Commercial,Product 014,Lighting,Cookware,2024-04-17,2008.55,2270.75,262.2,0.0,132.6,137.2,567.2,1196.1,149.5,191.4,643,321.4,321.4,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.272,0,Healthy,Maintain current inventory position and monitor,Available inventory (643) safely covers required buffer (321.4) and stock is within 4-week demand.,0.0,0.0,0.0,0.0
2025-12-01,SKU015,187,245,9,119,265,235038.43,True,Active Commercial,Product 015,Storage,Lamp,2024-02-29,5441.06,6212.12,771.06,0.0,24.6,26.2,101.9,213.6,26.7,32.1,432,151.1,151.1,0,1,78.0,0.0,0.0,0.0,0.0,0.0,85.1,0.918,1,Markdown / Clear,Review clearance and promotional markdown strategy,Holding 187 units vs 4-week forecast demand of 101.9; 85.1 excess units.,0.0,0.0,463034.21,463034.21
2025-12-01,SKU016,255,187,11,30,129,512180.25,True,Active Commercial,Product 016,Furniture,Shelf,2024-05-14,3637.93,2166.82,-1471.11,1.0,87.7,87.9,357.4,763.4,95.4,137.9,442,167.9,167.9,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.357,0,Healthy,Maintain current inventory position and monitor,Available inventory (442) safely covers required buffer (167.9) and stock is within 4-week demand.,0.0,0.0,0.0,0.0
2025-12-01,SKU017,95,26,12,108,274,636809.7,True,Active Commercial,Product 017,Home Decor,Cabinet,2023-07-19,6703.26,8477.32,1774.06,0.0,100.0,98.5,402.0,821.4,102.7,170.4,121,278.4,278.4,1,1,179.0,49.4,0.0,157.4,157.4,0.783,0.0,0.118,0,Reorder Now,Prioritize replenishment purchase order review,Available inventory (121) breaches required buffer (278.4 = 170.4 LTD + 108 SS); buffer gap is 157.4 units.,157.4,1334330.17,0.0,1334330.17
2025-12-01,SKU018,235,102,8,66,184,627647.4,True,Active Commercial,Product 018,Kitchen,Rug,2022-05-21,5677.05,5575.41,-101.64,1.0,174.8,176.2,698.4,1456.2,182.0,200.0,337,266.0,266.0,0,0,0.0,0.0,0.0,0.0,0.0,0.367,0.0,0.168,0,Healthy,Maintain current inventory position and monitor,Available inventory (337) safely covers required buffer (266.0) and stock is within 4-week demand.,0.0,0.0,0.0,0.0
2025-12-01,SKU019,227,114,14,25,126,738421.92,True,Active Commercial,Product 019,Lighting,Organizer,2024-07-12,2670.84,4819.85,2149.01,0.0,107.0,115.2,449.1,901.4,112.7,222.2,341,247.2,247.2,0,0,0.0,0.0,0.0,0.0,0.0,0.31,0.0,0.253,0,Healthy,Maintain current inventory position and monitor,Available inventory (341) safely covers required buffer (247.2) and stock is within 4-week demand.,0.0,0.0,0.0,0.0
2025-12-01,SKU020,1002,353,3,129,227,5550418.68,True,Active Commercial,Product 020,Storage,Sofa,2023-05-11,6700.01,3897.54,-2802.47,1.0,95.9,92.6,377.1,773.6,96.7,41.1,1355,170.1,170.1,0,0,0.0,0.0,0.0,0.0,0.0,0.0,624.9,1.0,1,Markdown / Clear,Review clearance and promotional markdown strategy,Holding 1002 units vs 4-week forecast demand of 377.1; 624.9 excess units.,0.0,0.0,4186836.25,4186836.25
2025-12-01,SKU021,88,97,9,36,88,27021.28,True,Active Commercial,Product 021,Furniture,Chair,2023-07-05,6486.92,7711.28,1224.36,0.0,52.3,55.7,214.1,448.8,56.1,68.2,185,104.2,104.2,0,1,0.0,0.0,0.0,0.0,0.0,0.112,0.0,0.206,0,Healthy,Maintain current inventory position and monitor,Available inventory (185) safely covers required buffer (104.2) and stock is within 4-week demand.,0.0,0.0,0.0,0.0
2025-12-01,SKU022,95,194,8,76,163,513246.05,True,Active Commercial,Product 022,Home Decor,Table,2023-02-12,3252.96,4597.03,1344.07,0.0,73.5,77.3,304.3,629.1,78.6,84.5,289,160.5,160.5,0,1,68.0,0.0,0.0,0.0,0.0,0.1,0.0,0.156,0,Healthy,Maintain current inventory position and monitor,Available inventory (289) safely covers required buffer (160.5) and stock is within 4-week demand.,0.0,0.0,0.0,0.0
2025-12-01,SKU023,130,79,12,41,148,494858.0,True,Active Commercial,Product 023,Kitchen,Cushion,2022-07-20,2484.54,1416.74,-1067.8,1.0,108.8,109.7,423.8,872.1,109.0,187.2,209,228.2,228.2,1,1,18.0,0.0,0.0,19.2,19.2,0.542,0.0,0.153,0,Reorder Now,Prioritize replenishment purchase order review,Available inventory (209) breaches required buffer (228.2 = 187.2 LTD + 41 SS); buffer gap is 19.2 units.,19.2,27201.41,0.0,27201.41
2025-12-01,SKU024,341,18,14,60,259,454699.63,True,Active Commercial,Product 024,Lighting,Cookware,2024-10-16,5539.34,1768.87,-3770.47,1.0,86.4,84.8,339.3,685.1,85.6,171.2,359,231.2,231.2,0,0,0.0,0.0,0.0,0.0,0.0,0.224,1.7,0.503,1,Markdown / Clear,Review clearance and promotional markdown strategy,Holding 341 units vs 4-week forecast demand of 339.3; 1.7 excess units.,0.0,0.0,9416.88,9416.88
2025-12-01,SKU025,1124,61,14,121,582,4384724.0,True,Active Commercial,Product 025,Storage,Lamp,2024-05-09,1333.08,11558.01,10224.93,0.0,19.0,19.5,80.1,166.0,20.8,38.5,1185,159.5,159.5,0,0,0.0,0.0,0.0,0.0,0.0,0.0,1043.9,1.0,1,Markdown / Clear,Review clearance and promotional markdown strategy,Holding 1124 units vs 4-week forecast demand of 80.1; 1043.9 excess units.,0.0,0.0,1391602.21,1391602.21
2025-12-01,SKU026,160,70,5,31,59,988598.4,True,Active Commercial,Product 026,Furniture,Shelf,2023-12-10,1799.29,10939.54,9140.25,0.0,156.8,149.5,620.4,1311.6,164.0,112.0,230,143.0,143.0,0,0,0.0,0.0,0.0,0.0,0.0,0.196,0.0,0.129,0,Healthy,Maintain current inventory position and monitor,Available inventory (230) safely covers required buffer (143.0) and stock is within 4-week demand.,0.0,0.0,0.0,0.0
2025-12-01,SKU027,567,103,3,83,133,2599048.62,True,Active Commercial,Product 027,Home Decor,Cabinet,2023-03-19,307.06,8516.6,8209.54,0.0,174.5,167.2,696.9,1448.8,181.1,74.8,670,157.8,157.8,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.407,0,Healthy,Maintain current inventory position and monitor,Available inventory (670) safely covers required buffer (157.8) and stock is within 4-week demand.,0.0,0.0,0.0,0.0
2025-12-01,SKU028,174,55,11,114,337,85058.16,True,Active Commercial,Product 028,Kitchen,Rug,2024-06-24,6348.66,3484.09,-2864.57,1.0,33.7,31.6,131.6,276.9,34.6,51.8,229,165.8,165.8,0,1,163.0,0.0,0.0,0.0,0.0,0.309,42.4,0.661,1,Markdown / Clear,Review clearance and promotional markdown strategy,Holding 174 units vs 4-week forecast demand of 131.6; 42.4 excess units.,0.0,0.0,269183.18,269183.18
2025-12-01,SKU029,261,520,5,196,329,891602.1,True,Active Commercial,Product 029,Lighting,Organizer,2023-08-23,5402.59,11642.45,6239.86,0.0,106.6,111.7,441.2,889.8,111.2,76.1,781,272.1,272.1,0,1,68.0,0.0,0.0,0.0,0.0,0.0,0.0,0.296,0,Healthy,Maintain current inventory position and monitor,Available inventory (781) safely covers required buffer (272.1) and stock is within 4-week demand.,0.0,0.0,0.0,0.0
2025-12-01,SKU030,166,32,9,43,104,342462.98,True,Active Commercial,Product 030,Storage,Sofa,2023-05-03,5715.03,9433.51,3718.48,0.0,29.4,32.3,127.6,270.6,33.8,38.6,198,81.6,81.6,0,0,0.0,0.0,0.0,0.0,0.0,0.0,38.4,0.65,1,Markdown / Clear,Review clearance and promotional markdown strategy,Holding 166 units vs 4-week forecast demand of 127.6; 38.4 excess units.,0.0,0.0,219457.15,219457.15
2025-12-01,SKU031,93,40,13,28,113,234857.55,True,Active Commercial,Product 031,Furniture,Chair,2023-05-11,6300.65,8715.93,2415.28,0.0,121.8,130.5,520.9,1094.3,136.8,233.7,133,261.7,261.7,1,1,20.0,100.7,0.0,128.7,128.7,0.746,0.0,0.089,0,Reorder Now,Prioritize replenishment purchase order review,Available inventory (133) breaches required buffer (261.7 = 233.7 LTD + 28 SS); buffer gap is 128.7 units.,128.7,1121740.19,0.0,1121740.19
2025-12-01,SKU032,278,214,11,60,185,1269626.0,True,Active Commercial,Product 032,Home Decor,Table,2022-09-07,3806.6,5612.59,1805.99,0.0,60.4,59.0,251.3,526.4,65.8,94.1,492,154.1,154.1,0,0,0.0,0.0,0.0,0.0,0.0,0.0,26.7,0.553,1,Markdown / Clear,Review clearance and promotional markdown strategy,Holding 278 units vs 4-week forecast demand of 251.3; 26.7 excess units.,0.0,0.0,101636.22,101636.22
2025-12-01,SKU033,208,168,12,55,183,707096.0,True,Active Commercial,Product 033,Kitchen,Cushion,2022-04-12,4657.74,3558.0,-1099.74,1.0,109.3,119.0,468.6,1009.6,126.2,194.3,376,249.3,249.3,0,0,0.0,0.0,0.0,0.0,0.0,0.246,0.0,0.222,0,Healthy,Maintain current inventory position and monitor,Available inventory (376) safely covers required buffer (249.3) and stock is within 4-week demand.,0.0,0.0,0.0,0.0
2025-12-01,SKU034,34,103,5,34,58,52497.36,True,Active Commercial,Product 034,Lighting,Cookware,2023-09-03,1333.43,1518.14,184.71,0.0,133.9,138.0,550.9,1158.7,144.8,95.6,137,129.6,129.6,0,1,24.0,0.0,0.0,0.0,0.0,0.471,0.0,0.031,0,Healthy,Maintain current inventory position and monitor,Available inventory (137) safely covers required buffer (129.6) and stock is within 4-week demand.,0.0,0.0,0.0,0.0
2025-12-01,SKU035,670,76,8,137,304,3918347.6,True,Active Commercial,Product 035,Storage,Lamp,2024-09-03,1137.61,10870.19,9732.58,0.0,143.3,147.4,586.7,1249.0,156.1,164.4,746,301.4,301.4,0,0,0.0,0.0,0.0,0.0,0.0,0.0,83.3,0.571,1,Markdown / Clear,Review clearance and promotional markdown strategy,Holding 670 units vs 4-week forecast demand of 586.7; 83.3 excess units.,0.0,0.0,94762.91,94762.91
2025-12-01,SKU036,383,135,3,77,129,574446.38,True,Active Commercial,Product 036,Furniture,Shelf,2022-03-12,5430.12,5687.0,256.88,0.0,30.8,32.4,129.8,272.7,34.1,13.2,518,90.2,90.2,0,0,0.0,0.0,0.0,0.0,0.0,0.0,253.2,1.0,1,Markdown / Clear,Review clearance and promotional markdown strategy,Holding 383 units vs 4-week forecast demand of 129.8; 253.2 excess units.,0.0,0.0,1374906.38,1374906.38
2025-12-01,SKU037,355,687,8,315,644,2004500.4,True,Active Commercial,Product 037,Home Decor,Cabinet,2024-08-02,3901.0,2747.42,-1153.58,1.0,158.5,162.5,653.0,1349.3,168.7,181.7,1042,496.7,496.7,0,1,289.0,0.0,0.0,0.0,0.0,0.0,0.0,0.272,0,Healthy,Maintain current inventory position and monitor,Available inventory (1042) safely covers required buffer (496.7) and stock is within 4-week demand.,0.0,0.0,0.0,0.0
2025-12-01,SKU038,159,310,12,56,175,509262.69,True,Active Commercial,Product 038,Kitchen,Rug,2024-06-29,4630.58,3949.1,-681.48,1.0,51.2,51.1,205.6,423.9,53.0,87.7,469,143.7,143.7,0,1,16.0,0.0,0.0,0.0,0.0,0.0,0.0,0.387,0,Healthy,Maintain current inventory position and monitor,Available inventory (469) safely covers required buffer (143.7) and stock is within 4-week demand.,0.0,0.0,0.0,0.0
2025-12-01,SKU039,93,35,3,17,31,284026.65,True,Active Commercial,Product 039,Lighting,Organizer,2022-11-01,6178.74,7118.95,940.21,0.0,18.2,20.0,81.8,171.0,21.4,7.8,128,24.8,24.8,0,0,0.0,0.0,0.0,0.0,0.0,0.0,11.2,0.568,1,Markdown / Clear,Review clearance and promotional markdown strategy,Holding 93 units vs 4-week forecast demand of 81.8; 11.2 excess units.,0.0,0.0,69201.89,69201.89
2025-12-01,SKU040,67,29,9,36,93,78024.85,True,Active Commercial,Product 040,Storage,Sofa,2023-11-26,5169.07,2450.56,-2718.51,1.0,93.9,100.6,387.4,821.1,102.6,122.6,96,158.6,158.6,1,1,26.0,26.6,0.0,62.6,62.6,0.697,0.0,0.086,0,Reorder Now,Prioritize replenishment purchase order review,Available inventory (96) breaches required buffer (158.6 = 122.6 LTD + 36 SS); buffer gap is 62.6 units.,62.6,153405.06,0.0,153405.06
2025-12-01,SKU041,440,40,4,78,139,2496001.2,True,Active Commercial,Product 041,Furniture,Chair,2022-07-01,4540.24,10336.73,5796.49,0.0,75.9,77.3,305.6,634.8,79.4,43.4,480,121.4,121.4,0,0,0.0,0.0,0.0,0.0,0.0,0.0,134.4,0.72,1,Markdown / Clear,Review clearance and promotional markdown strategy,Holding 440 units vs 4-week forecast demand of 305.6; 134.4 excess units.,0.0,0.0,610208.26,610208.26
2025-12-01,SKU042,90,120,6,41,88,698500.8,True,Active Commercial,Product 042,Home Decor,Table,2024-04-13,4583.86,9198.83,4614.97,0.0,159.7,145.3,624.3,1302.9,162.9,136.9,210,177.9,177.9,0,0,0.0,0.0,0.0,0.0,0.0,0.41,0.0,0.072,0,Healthy,Maintain current inventory position and monitor,Available inventory (210) safely covers required buffer (177.9) and stock is within 4-week demand.,0.0,0.0,0.0,0.0
2025-12-01,SKU043,559,211,12,142,393,2086495.45,True,Active Commercial,Product 043,Kitchen,Cushion,2024-02-10,2605.61,8745.77,6140.16,0.0,162.4,160.4,629.7,1293.7,161.7,277.0,770,419.0,419.0,0,0,0.0,0.0,0.0,0.0,0.0,0.081,0.0,0.444,0,Healthy,Maintain current inventory position and monitor,Available inventory (770) safely covers required buffer (419.0) and stock is within 4-week demand.,0.0,0.0,0.0,0.0
2025-12-01,SKU044,223,39,5,55,93,222337.69,True,Active Commercial,Product 044,Lighting,Cookware,2023-01-25,488.84,5412.28,4923.44,0.0,62.0,71.6,278.1,551.4,68.9,44.3,262,99.3,99.3,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.401,0,Healthy,Maintain current inventory position and monitor,Available inventory (262) safely covers required buffer (99.3) and stock is within 4-week demand.,0.0,0.0,0.0,0.0
2025-12-01,SKU045,307,142,4,88,142,558224.24,True,Active Commercial,Product 045,Storage,Lamp,2022-03-16,3634.56,7676.78,4042.22,0.0,164.8,168.3,669.6,1387.3,173.4,94.2,449,182.2,182.2,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.229,0,Healthy,Maintain current inventory position and monitor,Available inventory (449) safely covers required buffer (182.2) and stock is within 4-week demand.,0.0,0.0,0.0,0.0
2025-12-01,SKU046,119,182,4,46,96,563935.05,True,Active Commercial,Product 046,Furniture,Shelf,2024-12-03,1913.03,7175.54,5262.51,0.0,58.6,68.4,255.6,538.0,67.2,33.5,301,79.5,79.5,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.233,0,Healthy,Maintain current inventory position and monitor,Available inventory (301) safely covers required buffer (79.5) and stock is within 4-week demand.,0.0,0.0,0.0,0.0
2025-12-01,SKU047,201,129,9,44,99,1231834.53,True,Active Commercial,Product 047,Home Decor,Cabinet,2023-05-06,3416.1,7938.22,4522.12,0.0,108.4,104.5,416.0,864.1,108.0,138.3,330,182.3,182.3,0,0,0.0,0.0,0.0,0.0,0.0,0.095,0.0,0.242,0,Healthy,Maintain current inventory position and monitor,Available inventory (330) safely covers required buffer (182.3) and stock is within 4-week demand.,0.0,0.0,0.0,0.0
2025-12-01,SKU048,106,50,3,22,31,381464.32,True,Active Commercial,Product 048,Kitchen,Rug,2024-09-09,6863.87,1379.55,-5484.32,1.0,52.0,54.5,217.1,440.4,55.0,22.3,156,44.3,44.3,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.244,0,Healthy,Maintain current inventory position and monitor,Available inventory (156) safely covers required buffer (44.3) and stock is within 4-week demand.,0.0,0.0,0.0,0.0
2025-12-01,SKU049,780,599,5,206,344,4123321.8,True,Active Commercial,Product 049,Lighting,Organizer,2024-01-16,2063.03,5223.37,3160.34,0.0,177.8,179.7,707.5,1450.1,181.3,127.0,1379,333.0,333.0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,72.5,0.551,1,Markdown / Clear,Review clearance and promotional markdown strategy,Holding 780 units vs 4-week forecast demand of 707.5; 72.5 excess units.,0.0,0.0,149569.68,149569.68
2025-12-01,SKU050,328,525,14,69,316,1138983.28,True,Active Commercial,Product 050,Storage,Sofa,2024-05-06,701.85,882.72,180.87,0.0,40.8,38.4,164.4,339.7,42.5,79.2,853,148.2,148.2,0,0,0.0,0.0,0.0,0.0,0.0,0.0,163.6,0.998,1,Markdown / Clear,Review clearance and promotional markdown strategy,Holding 328 units vs 4-week forecast demand of 164.4; 163.6 excess units.,0.0,0.0,114822.66,114822.66
2025-12-01,SKU051,114,88,12,30,80,319931.88,False,Warehouse Only (No Sales History),Uncataloged SKU051,Unassigned (Pending Master),Unassigned (Pending Master),,,,,,0.0,0.0,0.0,0.0,0.0,0.0,202,30.0,30.0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,114.0,1.0,1,Warehouse Only (Inactive Catalog),Freeze purchase orders and audit for catalog launch or bulk liquidation,No commercial sales records in 2 years; 100% of warehouse stock is idle capital.,0.0,0.0,319931.88,319931.88
2025-12-01,SKU052,36,0,3,29,43,37849.32,False,Warehouse Only (No Sales History),Uncataloged SKU052,Unassigned (Pending Master),Unassigned (Pending Master),,,,,,0.0,0.0,0.0,0.0,0.0,0.0,36,29.0,29.0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,36.0,1.0,1,Warehouse Only (Inactive Catalog),Freeze purchase orders and audit for catalog launch or bulk liquidation,No commercial sales records in 2 years; 100% of warehouse stock is idle capital.,0.0,0.0,37849.32,37849.32
2025-12-01,SKU053,1262,513,7,177,459,9363636.16,False,Warehouse Only (No Sales History),Uncataloged SKU053,Unassigned (Pending Master),Unassigned (Pending Master),,,,,,0.0,0.0,0.0,0.0,0.0,0.0,1775,177.0,177.0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,1262.0,1.0,1,Warehouse Only (Inactive Catalog),Freeze purchase orders and audit for catalog launch or bulk liquidation,No commercial sales records in 2 years; 100% of warehouse stock is idle capital.,0.0,0.0,9363636.16,9363636.16
2025-12-01,SKU054,223,85,12,21,99,655227.52,False,Warehouse Only (No Sales History),Uncataloged SKU054,Unassigned (Pending Master),Unassigned (Pending Master),,,,,,0.0,0.0,0.0,0.0,0.0,0.0,308,21.0,21.0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,223.0,1.0,1,Warehouse Only (Inactive Catalog),Freeze purchase orders and audit for catalog launch or bulk liquidation,No commercial sales records in 2 years; 100% of warehouse stock is idle capital.,0.0,0.0,655227.52,655227.52
2025-12-01,SKU055,349,280,9,55,182,2679911.67,False,Warehouse Only (No Sales History),Uncataloged SKU055,Unassigned (Pending Master),Unassigned (Pending Master),,,,,,0.0,0.0,0.0,0.0,0.0,0.0,629,55.0,55.0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,349.0,1.0,1,Warehouse Only (Inactive Catalog),Freeze purchase orders and audit for catalog launch or bulk liquidation,No commercial sales records in 2 years; 100% of warehouse stock is idle capital.,0.0,0.0,2679911.67,2679911.67
2025-12-01,SKU056,51,44,9,10,26,322126.2,False,Warehouse Only (No Sales History),Uncataloged SKU056,Unassigned (Pending Master),Unassigned (Pending Master),,,,,,0.0,0.0,0.0,0.0,0.0,0.0,95,10.0,10.0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,51.0,1.0,1,Warehouse Only (Inactive Catalog),Freeze purchase orders and audit for catalog launch or bulk liquidation,No commercial sales records in 2 years; 100% of warehouse stock is idle capital.,0.0,0.0,322126.2,322126.2
2025-12-01,SKU057,220,86,9,35,113,891655.6,False,Warehouse Only (No Sales History),Uncataloged SKU057,Unassigned (Pending Master),Unassigned (Pending Master),,,,,,0.0,0.0,0.0,0.0,0.0,0.0,306,35.0,35.0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,220.0,1.0,1,Warehouse Only (Inactive Catalog),Freeze purchase orders and audit for catalog launch or bulk liquidation,No commercial sales records in 2 years; 100% of warehouse stock is idle capital.,0.0,0.0,891655.6,891655.6
2025-12-01,SKU058,162,607,6,170,304,758304.18,False,Warehouse Only (No Sales History),Uncataloged SKU058,Unassigned (Pending Master),Unassigned (Pending Master),,,,,,0.0,0.0,0.0,0.0,0.0,0.0,769,170.0,170.0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,162.0,1.0,1,Warehouse Only (Inactive Catalog),Freeze purchase orders and audit for catalog launch or bulk liquidation,No commercial sales records in 2 years; 100% of warehouse stock is idle capital.,0.0,0.0,758304.18,758304.18
