Week_Start,SKU,Product_Name,Category,Actual_Units,Origin_Index,Origin_Date,Horizon_Step,Pred_Baseline,Pred_ML
2025-05-19,SKU028,Product 028,Kitchen,52,71,2025-05-12,1,40,50.2
2025-05-19,SKU029,Product 029,Lighting,130,71,2025-05-12,1,134,120.2
2025-05-19,SKU030,Product 030,Storage,38,71,2025-05-12,1,47,36.2
2025-05-19,SKU031,Product 031,Furniture,158,71,2025-05-12,1,150,147.2
2025-05-19,SKU032,Product 032,Home Decor,69,71,2025-05-12,1,72,77.3
2025-05-19,SKU033,Product 033,Kitchen,132,71,2025-05-12,1,120,148.3
2025-05-19,SKU034,Product 034,Lighting,162,71,2025-05-12,1,147,149.3
2025-05-19,SKU035,Product 035,Storage,169,71,2025-05-12,1,174,183.1
2025-05-19,SKU036,Product 036,Furniture,28,71,2025-05-12,1,30,41.7
2025-05-19,SKU037,Product 037,Home Decor,199,71,2025-05-12,1,190,193.0
2025-05-19,SKU038,Product 038,Kitchen,76,71,2025-05-12,1,54,62.4
2025-05-19,SKU039,Product 039,Lighting,24,71,2025-05-12,1,25,30.6
2025-05-19,SKU040,Product 040,Storage,123,71,2025-05-12,1,119,119.7
2025-05-19,SKU041,Product 041,Furniture,79,71,2025-05-12,1,79,88.7
2025-05-19,SKU042,Product 042,Home Decor,180,71,2025-05-12,1,172,195.7
2025-05-19,SKU043,Product 043,Kitchen,184,71,2025-05-12,1,178,178.2
2025-05-19,SKU044,Product 044,Lighting,72,71,2025-05-12,1,77,76.9
2025-05-19,SKU045,Product 045,Storage,199,71,2025-05-12,1,187,197.3
2025-05-19,SKU046,Product 046,Furniture,67,71,2025-05-12,1,76,75.9
2025-05-19,SKU047,Product 047,Home Decor,114,71,2025-05-12,1,127,111.9
2025-05-19,SKU048,Product 048,Kitchen,61,71,2025-05-12,1,66,78.4
2025-05-19,SKU049,Product 049,Lighting,187,71,2025-05-12,1,178,183.4
2025-05-19,SKU050,Product 050,Storage,70,71,2025-05-12,1,37,52.4
2025-05-26,SKU001,Product 001,Furniture,111,71,2025-05-12,2,108,103.0
2025-05-26,SKU002,Product 002,Home Decor,93,71,2025-05-12,2,77,80.8
2025-05-26,SKU003,Product 003,Kitchen,45,71,2025-05-12,2,60,43.5
2025-05-26,SKU004,Product 004,Lighting,30,71,2025-05-12,2,28,36.9
2025-05-26,SKU005,Product 005,Storage,130,71,2025-05-12,2,124,119.2
2025-05-26,SKU006,Product 006,Furniture,50,71,2025-05-12,2,46,58.0
2025-05-26,SKU007,Product 007,Home Decor,196,71,2025-05-12,2,242,186.1
2025-05-26,SKU008,Product 008,Kitchen,135,71,2025-05-12,2,140,123.8
2025-05-26,SKU009,Product 009,Lighting,74,71,2025-05-12,2,74,93.8
2025-05-26,SKU010,Product 010,Storage,145,71,2025-05-12,2,158,142.5
2025-05-26,SKU011,Product 011,Furniture,29,71,2025-05-12,2,26,18.1
2025-05-26,SKU012,Product 012,Home Decor,200,71,2025-05-12,2,204,205.4
2025-05-26,SKU013,Product 013,Kitchen,117,71,2025-05-12,2,134,124.2
2025-05-26,SKU014,Product 014,Lighting,164,71,2025-05-12,2,199,181.4
2025-05-26,SKU015,Product 015,Storage,36,71,2025-05-12,2,32,38.3
2025-05-26,SKU016,Product 016,Furniture,116,71,2025-05-12,2,108,111.5
2025-05-26,SKU017,Product 017,Home Decor,109,71,2025-05-12,2,118,121.8
2025-05-26,SKU018,Product 018,Kitchen,192,71,2025-05-12,2,199,214.6
2025-05-26,SKU019,Product 019,Lighting,130,71,2025-05-12,2,147,124.2
2025-05-26,SKU020,Product 020,Storage,112,71,2025-05-12,2,117,113.6
2025-05-26,SKU021,Product 021,Furniture,71,71,2025-05-12,2,73,70.3
2025-05-26,SKU022,Product 022,Home Decor,90,71,2025-05-12,2,78,76.1
2025-05-26,SKU023,Product 023,Kitchen,112,71,2025-05-12,2,123,116.2
2025-05-26,SKU024,Product 024,Lighting,97,71,2025-05-12,2,118,117.6
2025-05-26,SKU025,Product 025,Storage,30,71,2025-05-12,2,16,17.2
2025-05-26,SKU026,Product 026,Furniture,206,71,2025-05-12,2,201,189.1
2025-05-26,SKU027,Product 027,Home Decor,195,71,2025-05-12,2,210,200.5
2025-05-26,SKU028,Product 028,Kitchen,40,71,2025-05-12,2,52,47.9
2025-05-26,SKU029,Product 029,Lighting,133,71,2025-05-12,2,132,119.6
2025-05-26,SKU030,Product 030,Storage,39,71,2025-05-12,2,40,37.8
2025-05-26,SKU031,Product 031,Furniture,153,71,2025-05-12,2,160,146.3
2025-05-26,SKU032,Product 032,Home Decor,79,71,2025-05-12,2,84,80.3
2025-05-26,SKU033,Product 033,Kitchen,155,71,2025-05-12,2,145,150.5
2025-05-26,SKU034,Product 034,Lighting,180,71,2025-05-12,2,170,162.2
2025-05-26,SKU035,Product 035,Storage,183,71,2025-05-12,2,176,189.3
2025-05-26,SKU036,Product 036,Furniture,44,71,2025-05-12,2,45,42.4
2025-05-26,SKU037,Product 037,Home Decor,216,71,2025-05-12,2,207,203.0
2025-05-26,SKU038,Product 038,Kitchen,60,71,2025-05-12,2,67,68.6
2025-05-26,SKU039,Product 039,Lighting,20,71,2025-05-12,2,27,30.5
2025-05-26,SKU040,Product 040,Storage,134,71,2025-05-12,2,135,118.6
2025-05-26,SKU041,Product 041,Furniture,81,71,2025-05-12,2,100,83.2
2025-05-26,SKU042,Product 042,Home Decor,172,71,2025-05-12,2,212,200.4
2025-05-26,SKU043,Product 043,Kitchen,192,71,2025-05-12,2,191,182.5
2025-05-26,SKU044,Product 044,Lighting,89,71,2025-05-12,2,85,85.0
2025-05-26,SKU045,Product 045,Storage,231,71,2025-05-12,2,230,204.5
2025-05-26,SKU046,Product 046,Furniture,77,71,2025-05-12,2,80,75.9
2025-05-26,SKU047,Product 047,Home Decor,122,71,2025-05-12,2,132,121.1
2025-05-26,SKU048,Product 048,Kitchen,71,71,2025-05-12,2,76,71.6
2025-05-26,SKU049,Product 049,Lighting,213,71,2025-05-12,2,196,197.1
2025-05-26,SKU050,Product 050,Storage,61,71,2025-05-12,2,50,53.0
2025-06-02,SKU001,Product 001,Furniture,121,71,2025-05-12,3,126,119.2
2025-06-02,SKU002,Product 002,Home Decor,73,71,2025-05-12,3,76,85.5
2025-06-02,SKU003,Product 003,Kitchen,50,71,2025-05-12,3,52,51.8
2025-06-02,SKU004,Product 004,Lighting,28,71,2025-05-12,3,41,39.2
2025-06-02,SKU005,Product 005,Storage,140,71,2025-05-12,3,157,133.8
2025-06-02,SKU006,Product 006,Furniture,57,71,2025-05-12,3,33,63.6
2025-06-02,SKU007,Product 007,Home Decor,185,71,2025-05-12,3,196,195.5
2025-06-02,SKU008,Product 008,Kitchen,122,71,2025-05-12,3,125,124.8
2025-06-02,SKU009,Product 009,Lighting,88,71,2025-05-12,3,94,104.9
2025-06-02,SKU010,Product 010,Storage,136,71,2025-05-12,3,151,142.0
2025-06-02,SKU011,Product 011,Furniture,20,71,2025-05-12,3,24,19.9
2025-06-02,SKU012,Product 012,Home Decor,205,71,2025-05-12,3,205,212.6
2025-06-02,SKU013,Product 013,Kitchen,99,71,2025-05-12,3,112,127.6
2025-06-02,SKU014,Product 014,Lighting,202,71,2025-05-12,3,174,179.3
2025-06-02,SKU015,Product 015,Storage,30,71,2025-05-12,3,41,35.9
2025-06-02,SKU016,Product 016,Furniture,111,71,2025-05-12,3,110,117.3
2025-06-02,SKU017,Product 017,Home Decor,111,71,2025-05-12,3,121,115.9
2025-06-02,SKU018,Product 018,Kitchen,203,71,2025-05-12,3,194,209.8
2025-06-02,SKU019,Product 019,Lighting,148,71,2025-05-12,3,122,130.7
2025-06-02,SKU020,Product 020,Storage,111,71,2025-05-12,3,104,110.2
2025-06-02,SKU021,Product 021,Furniture,77,71,2025-05-12,3,59,62.2
2025-06-02,SKU022,Product 022,Home Decor,89,71,2025-05-12,3,63,78.3
2025-06-02,SKU023,Product 023,Kitchen,122,71,2025-05-12,3,116,122.8
2025-06-02,SKU024,Product 024,Lighting,94,71,2025-05-12,3,97,120.0
2025-06-02,SKU025,Product 025,Storage,19,71,2025-05-12,3,21,20.9
2025-06-02,SKU026,Product 026,Furniture,199,71,2025-05-12,3,183,186.1
2025-06-02,SKU027,Product 027,Home Decor,181,71,2025-05-12,3,179,194.5
2025-06-02,SKU028,Product 028,Kitchen,49,71,2025-05-12,3,32,52.4
2025-06-02,SKU029,Product 029,Lighting,117,71,2025-05-12,3,129,119.1
2025-06-02,SKU030,Product 030,Storage,38,71,2025-05-12,3,29,32.7
2025-06-02,SKU031,Product 031,Furniture,156,71,2025-05-12,3,151,143.7
2025-06-02,SKU032,Product 032,Home Decor,77,71,2025-05-12,3,83,85.1
2025-06-02,SKU033,Product 033,Kitchen,132,71,2025-05-12,3,146,155.1
2025-06-02,SKU034,Product 034,Lighting,163,71,2025-05-12,3,171,165.4
2025-06-02,SKU035,Product 035,Storage,190,71,2025-05-12,3,166,186.0
2025-06-02,SKU036,Product 036,Furniture,31,71,2025-05-12,3,43,46.0
2025-06-02,SKU037,Product 037,Home Decor,212,71,2025-05-12,3,203,213.7
2025-06-02,SKU038,Product 038,Kitchen,62,71,2025-05-12,3,63,64.9
2025-06-02,SKU039,Product 039,Lighting,26,71,2025-05-12,3,25,30.8
2025-06-02,SKU040,Product 040,Storage,124,71,2025-05-12,3,128,121.0
2025-06-02,SKU041,Product 041,Furniture,93,71,2025-05-12,3,89,90.1
2025-06-02,SKU042,Product 042,Home Decor,199,71,2025-05-12,3,158,183.3
2025-06-02,SKU043,Product 043,Kitchen,194,71,2025-05-12,3,169,185.7
2025-06-02,SKU044,Product 044,Lighting,73,71,2025-05-12,3,78,79.5
2025-06-02,SKU045,Product 045,Storage,200,71,2025-05-12,3,213,209.6
2025-06-02,SKU046,Product 046,Furniture,75,71,2025-05-12,3,67,79.4
2025-06-02,SKU047,Product 047,Home Decor,123,71,2025-05-12,3,113,116.3
2025-06-02,SKU048,Product 048,Kitchen,67,71,2025-05-12,3,68,75.4
2025-06-02,SKU049,Product 049,Lighting,206,71,2025-05-12,3,194,203.9
2025-06-02,SKU050,Product 050,Storage,45,71,2025-05-12,3,52,58.3
2025-06-09,SKU001,Product 001,Furniture,104,71,2025-05-12,4,106,115.9
2025-06-09,SKU002,Product 002,Home Decor,91,71,2025-05-12,4,82,82.8
2025-06-09,SKU003,Product 003,Kitchen,53,71,2025-05-12,4,47,51.0
2025-06-09,SKU004,Product 004,Lighting,29,71,2025-05-12,4,40,42.4
2025-06-09,SKU005,Product 005,Storage,133,71,2025-05-12,4,138,120.1
2025-06-09,SKU006,Product 006,Furniture,64,71,2025-05-12,4,41,61.6
2025-06-09,SKU007,Product 007,Home Decor,174,71,2025-05-12,4,203,203.3
2025-06-09,SKU008,Product 008,Kitchen,136,71,2025-05-12,4,106,114.8
2025-06-09,SKU009,Product 009,Lighting,86,71,2025-05-12,4,93,102.9
2025-06-09,SKU010,Product 010,Storage,141,71,2025-05-12,4,141,139.8
2025-06-09,SKU011,Product 011,Furniture,26,71,2025-05-12,4,19,20.6
2025-06-09,SKU012,Product 012,Home Decor,204,71,2025-05-12,4,230,214.2
2025-06-09,SKU013,Product 013,Kitchen,115,71,2025-05-12,4,92,117.8
2025-06-09,SKU014,Product 014,Lighting,163,71,2025-05-12,4,175,180.3
2025-06-09,SKU015,Product 015,Storage,23,71,2025-05-12,4,36,34.4
2025-06-09,SKU016,Product 016,Furniture,112,71,2025-05-12,4,107,123.6
2025-06-09,SKU017,Product 017,Home Decor,113,71,2025-05-12,4,110,114.4
2025-06-09,SKU018,Product 018,Kitchen,201,71,2025-05-12,4,191,204.7
2025-06-09,SKU019,Product 019,Lighting,115,71,2025-05-12,4,137,123.7
2025-06-09,SKU020,Product 020,Storage,89,71,2025-05-12,4,127,111.9
2025-06-09,SKU021,Product 021,Furniture,79,71,2025-05-12,4,76,73.2
2025-06-09,SKU022,Product 022,Home Decor,90,71,2025-05-12,4,91,80.0
2025-06-09,SKU023,Product 023,Kitchen,117,71,2025-05-12,4,114,123.9
2025-06-09,SKU024,Product 024,Lighting,105,71,2025-05-12,4,95,116.0
2025-06-09,SKU025,Product 025,Storage,23,71,2025-05-12,4,16,21.7
2025-06-09,SKU026,Product 026,Furniture,201,71,2025-05-12,4,175,187.1
2025-06-09,SKU027,Product 027,Home Decor,165,71,2025-05-12,4,219,215.7
2025-06-09,SKU028,Product 028,Kitchen,41,71,2025-05-12,4,48,53.7
2025-06-09,SKU029,Product 029,Lighting,121,71,2025-05-12,4,142,125.0
2025-06-09,SKU030,Product 030,Storage,51,71,2025-05-12,4,47,40.3
2025-06-09,SKU031,Product 031,Furniture,162,71,2025-05-12,4,150,143.1
2025-06-09,SKU032,Product 032,Home Decor,78,71,2025-05-12,4,65,79.1
2025-06-09,SKU033,Product 033,Kitchen,154,71,2025-05-12,4,152,150.4
2025-06-09,SKU034,Product 034,Lighting,162,71,2025-05-12,4,165,164.9
2025-06-09,SKU035,Product 035,Storage,163,71,2025-05-12,4,195,200.2
2025-06-09,SKU036,Product 036,Furniture,30,71,2025-05-12,4,41,43.5
2025-06-09,SKU037,Product 037,Home Decor,195,71,2025-05-12,4,186,207.3
2025-06-09,SKU038,Product 038,Kitchen,58,71,2025-05-12,4,65,69.6
2025-06-09,SKU039,Product 039,Lighting,26,71,2025-05-12,4,24,25.6
2025-06-09,SKU040,Product 040,Storage,113,71,2025-05-12,4,128,122.3
2025-06-09,SKU041,Product 041,Furniture,98,71,2025-05-12,4,90,93.0
2025-06-09,SKU042,Product 042,Home Decor,181,71,2025-05-12,4,195,210.5
2025-06-09,SKU043,Product 043,Kitchen,178,71,2025-05-12,4,179,186.4
2025-06-09,SKU044,Product 044,Lighting,88,71,2025-05-12,4,81,87.4
2025-06-09,SKU045,Product 045,Storage,221,71,2025-05-12,4,239,215.4
2025-06-09,SKU046,Product 046,Furniture,66,71,2025-05-12,4,76,77.5
2025-06-09,SKU047,Product 047,Home Decor,125,71,2025-05-12,4,102,110.2
2025-06-09,SKU048,Product 048,Kitchen,59,71,2025-05-12,4,67,80.3
2025-06-09,SKU049,Product 049,Lighting,206,71,2025-05-12,4,190,204.3
2025-06-09,SKU050,Product 050,Storage,49,71,2025-05-12,4,49,60.6
2025-06-16,SKU001,Product 001,Furniture,110,71,2025-05-12,5,100,118.5
2025-06-16,SKU002,Product 002,Home Decor,84,71,2025-05-12,5,62,83.3
2025-06-16,SKU003,Product 003,Kitchen,48,71,2025-05-12,5,57,57.4
2025-06-16,SKU004,Product 004,Lighting,48,71,2025-05-12,5,37,41.1
2025-06-16,SKU005,Product 005,Storage,116,71,2025-05-12,5,149,119.7
2025-06-16,SKU006,Product 006,Furniture,42,71,2025-05-12,5,42,62.4
2025-06-16,SKU007,Product 007,Home Decor,187,71,2025-05-12,5,219,208.5
2025-06-16,SKU008,Product 008,Kitchen,101,71,2025-05-12,5,134,128.3
2025-06-16,SKU009,Product 009,Lighting,81,71,2025-05-12,5,64,99.6
2025-06-16,SKU010,Product 010,Storage,139,71,2025-05-12,5,153,142.3
2025-06-16,SKU011,Product 011,Furniture,18,71,2025-05-12,5,16,20.4
2025-06-16,SKU012,Product 012,Home Decor,190,71,2025-05-12,5,213,209.1
2025-06-16,SKU013,Product 013,Kitchen,118,71,2025-05-12,5,107,123.0
2025-06-16,SKU014,Product 014,Lighting,159,71,2025-05-12,5,176,190.3
2025-06-16,SKU015,Product 015,Storage,32,71,2025-05-12,5,29,35.5
2025-06-16,SKU016,Product 016,Furniture,112,71,2025-05-12,5,106,116.5
2025-06-16,SKU017,Product 017,Home Decor,114,71,2025-05-12,5,102,112.4
2025-06-16,SKU018,Product 018,Kitchen,212,71,2025-05-12,5,198,209.9
2025-06-16,SKU019,Product 019,Lighting,136,71,2025-05-12,5,110,127.5
2025-06-16,SKU020,Product 020,Storage,116,71,2025-05-12,5,122,118.0
2025-06-16,SKU021,Product 021,Furniture,67,71,2025-05-12,5,56,64.7
2025-06-16,SKU022,Product 022,Home Decor,86,71,2025-05-12,5,94,82.9
2025-06-16,SKU023,Product 023,Kitchen,133,71,2025-05-12,5,124,125.3
2025-06-16,SKU024,Product 024,Lighting,101,71,2025-05-12,5,114,119.6
2025-06-16,SKU025,Product 025,Storage,16,71,2025-05-12,5,18,22.8
2025-06-16,SKU026,Product 026,Furniture,171,71,2025-05-12,5,211,199.5
2025-06-16,SKU027,Product 027,Home Decor,193,71,2025-05-12,5,200,209.2
2025-06-16,SKU028,Product 028,Kitchen,41,71,2025-05-12,5,52,54.3
2025-06-16,SKU029,Product 029,Lighting,122,71,2025-05-12,5,128,116.1
2025-06-16,SKU030,Product 030,Storage,31,71,2025-05-12,5,28,38.4
2025-06-16,SKU031,Product 031,Furniture,144,71,2025-05-12,5,152,142.5
2025-06-16,SKU032,Product 032,Home Decor,74,71,2025-05-12,5,74,76.9
2025-06-16,SKU033,Product 033,Kitchen,165,71,2025-05-12,5,158,158.8
2025-06-16,SKU034,Product 034,Lighting,163,71,2025-05-12,5,170,166.7
2025-06-16,SKU035,Product 035,Storage,152,71,2025-05-12,5,159,179.9
2025-06-16,SKU036,Product 036,Furniture,42,71,2025-05-12,5,27,47.6
2025-06-16,SKU037,Product 037,Home Decor,200,71,2025-05-12,5,191,209.4
2025-06-16,SKU038,Product 038,Kitchen,60,71,2025-05-12,5,50,63.4
2025-06-16,SKU039,Product 039,Lighting,32,71,2025-05-12,5,25,30.0
2025-06-16,SKU040,Product 040,Storage,125,71,2025-05-12,5,124,118.5
2025-06-16,SKU041,Product 041,Furniture,78,71,2025-05-12,5,89,94.9
2025-06-16,SKU042,Product 042,Home Decor,179,71,2025-05-12,5,184,201.9
2025-06-16,SKU043,Product 043,Kitchen,180,71,2025-05-12,5,169,186.7
2025-06-16,SKU044,Product 044,Lighting,71,71,2025-05-12,5,77,81.7
2025-06-16,SKU045,Product 045,Storage,177,71,2025-05-12,5,217,211.6
2025-06-16,SKU046,Product 046,Furniture,58,71,2025-05-12,5,64,74.2
2025-06-16,SKU047,Product 047,Home Decor,133,71,2025-05-12,5,133,127.4
2025-06-16,SKU048,Product 048,Kitchen,77,71,2025-05-12,5,74,81.3
2025-06-16,SKU049,Product 049,Lighting,197,71,2025-05-12,5,187,202.5
2025-06-16,SKU050,Product 050,Storage,63,71,2025-05-12,5,50,59.6
2025-06-23,SKU001,Product 001,Furniture,134,71,2025-05-12,6,124,110.8
2025-06-23,SKU002,Product 002,Home Decor,70,71,2025-05-12,6,80,83.2
2025-06-23,SKU003,Product 003,Kitchen,44,71,2025-05-12,6,30,57.4
2025-06-23,SKU004,Product 004,Lighting,31,71,2025-05-12,6,34,39.3
2025-06-23,SKU005,Product 005,Storage,134,71,2025-05-12,6,145,124.9
2025-06-23,SKU006,Product 006,Furniture,54,71,2025-05-12,6,59,56.9
2025-06-23,SKU007,Product 007,Home Decor,212,71,2025-05-12,6,204,204.6
2025-06-23,SKU008,Product 008,Kitchen,118,71,2025-05-12,6,144,128.6
2025-06-23,SKU009,Product 009,Lighting,92,71,2025-05-12,6,84,104.1
2025-06-23,SKU010,Product 010,Storage,123,71,2025-05-12,6,129,140.3
2025-06-23,SKU011,Product 011,Furniture,22,71,2025-05-12,6,19,23.2
2025-06-23,SKU012,Product 012,Home Decor,173,71,2025-05-12,6,202,210.2
2025-06-23,SKU013,Product 013,Kitchen,128,71,2025-05-12,6,107,119.0
2025-06-23,SKU014,Product 014,Lighting,191,71,2025-05-12,6,184,197.2
2025-06-23,SKU015,Product 015,Storage,25,71,2025-05-12,6,29,38.6
2025-06-23,SKU016,Product 016,Furniture,116,71,2025-05-12,6,108,118.4
2025-06-23,SKU017,Product 017,Home Decor,133,71,2025-05-12,6,125,123.9
2025-06-23,SKU018,Product 018,Kitchen,194,71,2025-05-12,6,197,209.9
2025-06-23,SKU019,Product 019,Lighting,129,71,2025-05-12,6,117,128.4
2025-06-23,SKU020,Product 020,Storage,104,71,2025-05-12,6,113,119.3
2025-06-23,SKU021,Product 021,Furniture,69,71,2025-05-12,6,56,65.8
2025-06-23,SKU022,Product 022,Home Decor,83,71,2025-05-12,6,76,77.5
2025-06-23,SKU023,Product 023,Kitchen,130,71,2025-05-12,6,118,123.3
2025-06-23,SKU024,Product 024,Lighting,107,71,2025-05-12,6,105,114.8
2025-06-23,SKU025,Product 025,Storage,25,71,2025-05-12,6,25,22.5
2025-06-23,SKU026,Product 026,Furniture,161,71,2025-05-12,6,182,192.7
2025-06-23,SKU027,Product 027,Home Decor,183,71,2025-05-12,6,178,195.6
2025-06-23,SKU028,Product 028,Kitchen,43,71,2025-05-12,6,52,53.8
2025-06-23,SKU029,Product 029,Lighting,114,71,2025-05-12,6,127,122.1
2025-06-23,SKU030,Product 030,Storage,47,71,2025-05-12,6,30,35.4
2025-06-23,SKU031,Product 031,Furniture,136,71,2025-05-12,6,164,158.0
2025-06-23,SKU032,Product 032,Home Decor,55,71,2025-05-12,6,71,78.7
2025-06-23,SKU033,Product 033,Kitchen,145,71,2025-05-12,6,146,155.9
2025-06-23,SKU034,Product 034,Lighting,172,71,2025-05-12,6,181,174.6
2025-06-23,SKU035,Product 035,Storage,177,71,2025-05-12,6,177,188.9
2025-06-23,SKU036,Product 036,Furniture,40,71,2025-05-12,6,39,47.9
2025-06-23,SKU037,Product 037,Home Decor,202,71,2025-05-12,6,211,214.5
2025-06-23,SKU038,Product 038,Kitchen,75,71,2025-05-12,6,74,73.1
2025-06-23,SKU039,Product 039,Lighting,31,71,2025-05-12,6,21,28.9
2025-06-23,SKU040,Product 040,Storage,119,71,2025-05-12,6,97,112.4
2025-06-23,SKU041,Product 041,Furniture,72,71,2025-05-12,6,88,92.4
2025-06-23,SKU042,Product 042,Home Decor,197,71,2025-05-12,6,159,181.7
2025-06-23,SKU043,Product 043,Kitchen,179,71,2025-05-12,6,172,184.1
2025-06-23,SKU044,Product 044,Lighting,62,71,2025-05-12,6,90,82.7
2025-06-23,SKU045,Product 045,Storage,207,71,2025-05-12,6,204,211.0
2025-06-23,SKU046,Product 046,Furniture,79,71,2025-05-12,6,65,82.0
2025-06-23,SKU047,Product 047,Home Decor,110,71,2025-05-12,6,128,117.6
2025-06-23,SKU048,Product 048,Kitchen,73,71,2025-05-12,6,57,72.3
2025-06-23,SKU049,Product 049,Lighting,220,71,2025-05-12,6,200,210.2
2025-06-23,SKU050,Product 050,Storage,55,71,2025-05-12,6,47,62.7
2025-06-30,SKU001,Product 001,Furniture,101,71,2025-05-12,7,84,112.4
2025-06-30,SKU002,Product 002,Home Decor,53,71,2025-05-12,7,81,81.4
2025-06-30,SKU003,Product 003,Kitchen,42,71,2025-05-12,7,43,54.4
2025-06-30,SKU004,Product 004,Lighting,27,71,2025-05-12,7,28,42.6
2025-06-30,SKU005,Product 005,Storage,99,71,2025-05-12,7,105,121.1
2025-06-30,SKU006,Product 006,Furniture,41,71,2025-05-12,7,54,61.8
2025-06-30,SKU007,Product 007,Home Decor,181,71,2025-05-12,7,187,199.0
2025-06-30,SKU008,Product 008,Kitchen,128,71,2025-05-12,7,112,123.3
2025-06-30,SKU009,Product 009,Lighting,83,71,2025-05-12,7,78,105.0
2025-06-30,SKU010,Product 010,Storage,111,71,2025-05-12,7,103,132.7
2025-06-30,SKU011,Product 011,Furniture,25,71,2025-05-12,7,19,22.7
2025-06-30,SKU012,Product 012,Home Decor,171,71,2025-05-12,7,173,197.7
2025-06-30,SKU013,Product 013,Kitchen,101,71,2025-05-12,7,94,108.3
2025-06-30,SKU014,Product 014,Lighting,134,71,2025-05-12,7,137,165.2
2025-06-30,SKU015,Product 015,Storage,22,71,2025-05-12,7,27,38.4
2025-06-30,SKU016,Product 016,Furniture,101,71,2025-05-12,7,93,111.2
2025-06-30,SKU017,Product 017,Home Decor,105,71,2025-05-12,7,112,119.9
2025-06-30,SKU018,Product 018,Kitchen,164,71,2025-05-12,7,163,194.0
2025-06-30,SKU019,Product 019,Lighting,94,71,2025-05-12,7,113,136.5
2025-06-30,SKU020,Product 020,Storage,104,71,2025-05-12,7,94,111.4
2025-06-30,SKU021,Product 021,Furniture,57,71,2025-05-12,7,60,66.2
2025-06-30,SKU022,Product 022,Home Decor,70,71,2025-05-12,7,58,75.1
2025-06-30,SKU023,Product 023,Kitchen,105,71,2025-05-12,7,109,124.0
2025-06-30,SKU024,Product 024,Lighting,94,71,2025-05-12,7,100,101.7
2025-06-30,SKU025,Product 025,Storage,18,71,2025-05-12,7,24,21.4
2025-06-30,SKU026,Product 026,Furniture,150,71,2025-05-12,7,163,183.8
2025-06-30,SKU027,Product 027,Home Decor,165,71,2025-05-12,7,149,171.6
2025-06-30,SKU028,Product 028,Kitchen,32,71,2025-05-12,7,42,54.3
2025-06-30,SKU029,Product 029,Lighting,102,71,2025-05-12,7,118,120.0
2025-06-30,SKU030,Product 030,Storage,27,71,2025-05-12,7,36,31.7
2025-06-30,SKU031,Product 031,Furniture,124,71,2025-05-12,7,133,147.1
2025-06-30,SKU032,Product 032,Home Decor,70,71,2025-05-12,7,66,74.9
2025-06-30,SKU033,Product 033,Kitchen,137,71,2025-05-12,7,134,155.8
2025-06-30,SKU034,Product 034,Lighting,134,71,2025-05-12,7,148,154.1
2025-06-30,SKU035,Product 035,Storage,148,71,2025-05-12,7,143,172.0
2025-06-30,SKU036,Product 036,Furniture,33,71,2025-05-12,7,21,47.0
